rating,review,review_length,word_count
5.0,"i realize i’m such a cliché for saying this, but this movie really is the reason why i’m out here. it’s the reason i do anything . i’ve heard every complaint and critique and i just don’t care - this is the purest form of movie magic i’ve ever experienced and simply one of the most impactful and influential movies i’ve ever seen period . it never shies away from how hard it is out here and how damn near impossible it is…",424,83
4.5,"Rewatched this because Dunkey told me to and surprise surprise it's still magnificent. I'm not super into Ryan Gosling's performance but the gorgeous cinematography, breathtaking musical numbers, electric romantic chemistry, and sublime writing perfectly illustrate why Damien Chazelle is an absolute master of his craft. Not quite as perfect as Whiplash, but it does have the slightly better ending. Hell, maybe the best ending I've ever seen in a movie.",455,70
5.0,"Perfect movie, perfect movie, perfect movie, perfect movie. Never not hitting.",78,11
5.0,what do you mean you don't like jazz?,37,8
5.0,PEOPLE 👏 LOVE 👏 WHAT 👏 OTHER 👏 PEOPLE 👏 ARE 👏 PASSIONATE 👏 ABOUT 👏,66,16
3.0,"Occasionally a nice tonic, and pretty, but mostly a timid musical mixed with a bland romance. How the guy who made WHIPLASH failed...no, scratch that, barely even tried to make this take off until the last 20 minutes or so is baffling. Why does this plateau as soon as they get together? Why is so much of this (like say their one argument or the stories of their respective hopes) not in song? Where did all of Chazelle's energy go?",433,80
5.0,"this single handedly reinvented musicals, singing, dancing, cinematography, comedy, seasons of the year, the piano, every color on the entire color spectrum, romance, jazz and pure joy also: 1. in the middle of the ending the projector messed up and so they played it back and i got to cry over that spectacular ending twice in a row, and 2. i met damien chazelle!",364,64
3.5,"Admittedly, the storyline did lose me at certain points, but the phenomenal use of colour, lighting and music certainly made for a compelling watch. I can confirm that I did in fact enjoy this.",193,34
5.0,i literally started crying before i even pressed play,53,9
,you can’t just drive up to the griffith observatory door like that you would get arrested so fast,97,18
4.5,"Ayer fue una hermosa tarde de lluvia y la pasé encerrado en mi casa escribiendo, con Leia durmiendo al lado mío y el ruido del agua y los truenos de fondo. Una maravilla. Pero el universo, que es tremendo sorete, le gusta equilibrar las cosas y por eso a las nueve de la noche se cortó la luz para no volver. Me quedé un rato largo sentado en el sillón en plan “en un momento así solo se puede reír” …",401,81
2.5,"Yes it is true: I hate joy. Okay but seriously, of all the movies you could fight about, y'all chose this? This is the movie nobody is allowed to dislike? Are you sure that there weren't any better candidates than La La Land ? I'm honestly confused right now. I can see why it might appeal to some people but at the same time I don't think that it will ever become a classic because it's just not original enough. Sometimes…",424,81
4.5,HOT TAKE: This is a beautiful film.,35,7
4.0,is this a horror movie,22,5
5.0,"the ending of this movie sparked a strong and completely new emotional reaction in me, a mix of crying while dancing: cry-dancing, sometimes referred to as ""crancing""?, also known simply and elegantly as ""dying"" (source: me i guess)",232,38
5.0,How am I happy AND sad ?,24,7
5.0,i lobe this movie,17,4
5.0,"This happened to me once when I played toontown in 2010. I had a girlfriend who I'd go on the trolley with everyday. Then one day, she gets mad at me... It was trolley tracks and i didn't want to play the game that she wanted to. She voted for a different game and I became erratic. I yelled at her. She left me. Weeks go by, no contact. We had a mutual friend who would tell me how she…",387,80
5.0,"""I'm Always Gonna Love You."" Quite literally a film that leaves me speechless, never failing to mesmerize me in its romantic story-telling and heartbreaking, yet awe-inspiring, character work and portrait of love. It’s so much more than just another romance film, though. It’s a tender tale of an evolving relationship burdened by dreams of success. An ode to old Hollywood filmmaking with its vibrant use of color and Pulp Fiction-esque production design. Chazelle feels as passionate as I’ve ever seen…",504,80
4.5,"Right person, wrong time",24,4
5.0,mia is so much stronger than me because if a man barged past me after playing that fuck ass piano i would’ve thrown some hands,126,25
5.0,My love for this movie is immeasurable.,39,7
5.0,"While I'm an emotional wreck with swollen eyes, this film will hold a special place in my heart",95,18
4.0,"Fair warning, only because a portion of the reviews make it out to be some kind of bright, cheery, optimistic film -- La La Land left me in one of the most profoundly depressed states of any film I've seen this year. I decided to watch it twice tonight and I don't even know why (okay actually I do), because now I'm just despondent.",333,64
3.0,Ryan Gosling and Emma Stone are the reasons in my humble opinion the masses have gone Ga Ga for La La Land. The It Guy. The It Girl. A romance for the ages. The couple we all love. It's The Notebook without the sappy ending for the millennial generation. Take away Ryan and Emma and I'm betting most of you would give zero fucks about La La Land. La La Land is being sold as the second coming of the…,400,80
5.0,filmmaking nearer the gods. perfect film. no notes.,51,8
5.0,TIFF 2016 Film #17 Cinema has officially been reborn. La La Land is one of the most enjoyable movie experiences I've ever had. This movie gives me life. It's absolutely electrifying. There's a big musical number before the movie even really starts and at that moment I knew we had a special film on our hands. Emma Stone is coming for that Oscar. Her and Ryan Gosling were dynamite as a pair. We all need to be very thankful that…,430,80
5.0,you know that scene when they’re walking through the lot and mia stops in to look at one of the sets and she just says “i love it.” yeah that’s me watching this movie,166,34
5.0,in my head i play a supercut of us all the magic we gave off all the love we had and lost and in my head the visions never stop these ribbons wrap me up but when i reach for you there's just a supercut,201,45
5.0,still good still makes me cry,29,6
5.0,"this is the most personal film ever to me. i don’t think i can or ever will watch this without bursting into floods of tears. i try to watch this once a year as a little check in, as a reminder that this is the film that started it all way back in 2016, the film that made me fall in love with cinema and decide to dedicate my entire life to the art form! watching this every year makes…",387,80
2.0,"Yes, black people are used as props. Yes, a white man wants to save a black art form from being tainted by a black man. Yes, he succeeds in this goal. Yes, in a white man’s passionate spiel about the history of jazz, blackness isn’t mentioned once. Yes, a white man fetishizes a black art form from a time where black people were treated like shit (not like we still aren’t). These are annoying but are nowhere near my biggest…",427,80
4.0,pissy caca,10,2
4.5,"“I’m always gonna love you.” “I’m always gonna love you, too.” Words have meaning. It was a favorite phrase of a professor at my law school (a professor under whom I thankfully did not matriculate, given his reputation), and it is a maxim to which I try my utmost to adhere (though I fail more often than not). If the purpose of language is to communicate meaning, one must choose one’s words carefully and with purpose, lest one be misunderstood…",447,80
5.0,Last night was one of those nights where I couldn’t fall asleep… which is ass. So… La La Land.,94,19
1.5,it's like if kidz bop made a jazz album.,40,9
5.0,“I’m always gonna love you” “I’m always gonna love you too” Okay well just punch me in the face why don’t you,109,22
5.0,It’s just so fucking good.,26,5
5.0,the perfect film doesn't exi-,29,5
3.5,is it a thing with male musicians that they start disrespecting their girlfriends when they go professional or does it only happen in damien chazelle films,155,26
5.0,film is unrealistic because on their first date man is interested in + asking her questions instead of incessantly talking about himself,136,22
5.0,Love this films ability to make me feel such profound joy and then make me want to kill myself,94,19
5.0,this is my favorite movie and I don’t care who knows it,55,12
2.5,"so imagine demy (but, like, only an okay version) directed detention (but, like, only an okay version) and sprinkled on its four corners the blood of badlands (but, like, only an okay version) and wrapped the whole thing up in the hide of bojack horseman (but, like, only an okay version). i adore musicals with all my heart & mind & soul & strength so please know it is with a heavy heart (& mind etc.) i must announce: this is aggressively mediocre.…",452,83
4.5,"the right person, wrong time trope will always get me",53,10
5.0,watched on the plane (would’ve been rude not to) i laughed i cried i had many epiphanies etc etc,96,19
5.0,"""I'm always gonna love you."" ""I'm always gonna love you too.""",61,11
5.0,get super emotional every time i see this!!! had the privilege of seeing this for the first time at 11 years old and it made me absolutely fall in love with cinema. i owe the past 8 years of my life to this movie and most importantly the past year which has been one of the most insane years of my life. no matter how old or pretentious i get i will be ride or die for la la land !!!! …,386,82
3.5,"70 Gosh, it sucks that this movie is merely very good, because at its best, La La Land is one of the greatest films about the Hollywood Dream Factory. The dance against the LA skyline, the sunset merging with twilight, colors glowing against the extravagant costuming. Just lovely. Too often it falls into the rut of not embracing the 'musical' element. A film as gorgeous as this should be bouncing off the walls as a full-fledged musical. But the worst…",455,80
5.0,"As the year closes, Chazelle provides the perfect antidote to the ruthless bastard that is 2016. There's a conversation in this film where the superb (easily her career best performance) Emma Stone expresses her fears that the play she wrote could be seen as too old-fashioned by people, to which the fantastic (and jealousy inducing bastard) Ryan Gosling responds with a heartfelt 'Fuck other people!'. This is Chazelle not caring and indulging in what is essentially two hours of movie…",488,80
5.0,I want Mia and Sebastian's theme to be played at every significant moment in my life,84,16
5.0,"also, i'm writing this here because i truly don't know where else to put it, but: i don't really get some of the controversy surrounding this film. warning: i'm talkin about race, baby. (so beat it if you're just gonna write ""blugghh stop making race important"") in terms of ""white people talking about jazz,"" sure, that's not GREAT but i don't know if i'd call it or chazelle racist. his first film went under the radar and was about a…",437,80
2.0,"I kinda want to punch people comparing this to Demy in the face as much as I wanted to punch Gosling’s (whose self-absorption is put to great use here even if I’m not sure it was intentional). That said, the anxiety of failure that runs as undercurrent throughout this does stings some. It is half a prick’s wish-fulfillment fantasy and half a manic depressed nightmare of someone afraid to be exposed and the way those disparate parts run together is curious at least.",469,83
5.0,"Jesus Christ I'm so in love with this movie, I've never been in love with anything as much as this. I left the theater sobbing my eyes out and I stopped and looked behind me at the credits and smiled. I fucking love this film.",226,45
5.0,"I will never not love La La Land . It is such a special place to come back to whenever I want to be fully immersed by cinema and art, the true meaning of both those things and the power they can hold. Whenever I want to fall in love all over again with the way dreams and love work and how they sometimes just can't both walk together in the same direction. Because that really is how life works. Sometimes…",407,81
1.5,"The most artless celebration of art I have ever witnessed. Art is basically what a very few people (this film's intended audience of The Academy) get to do for a living in this film. It is undemocratic and mainly nostalgia for the retired. This blatant attempt to funnel this myopic, decrepit worldview through not only one of the premiere genres of freedom, but a story of millennials with no money, having prospects handed to them because they are more nostalgic…",465,80
5.0,i think i've seen this film before and i didn't like the ending,63,13
5.0,"I'm warning you right the fuck now, if you hate this movie because of all the awards and Oscar buzz it's getting I will block and report you. I'm pretty much unfollowing anyone who gives it under a 4 anyway, but if your only excuse is because it doesn't deserve awards I literally have no respect or care in the world for you. EDIT : I'm joking about the unfollow thing. Don't take it too seriously. Just understand where my…",425,80
4.5,"Part of me acknowledges the irony of creating a film about “daring to dream” within Hollywood, the most restrictive, exclusive, unwelcoming system of any artistic medium. I also acknowledge the irony of not taking a risk on two unknowns and instead casting two of the biggest stars in the world, and how much that diminishes the impact of those desired themes. The other part of me knows this is still magical and that the first part of me thinks too much.",456,81
5.0,"“ La La Land ”, directed by Damien Chazelle, is an absolute triumph that transports the audience to a world of dazzling dreams and sincere emotions. With an enchanting story, captivating performances and mesmerizing musical numbers, this film is a true cinematic gem. By far one of my favorite films. Set against a vibrant Los Angeles backdrop, “ La La Land ” follows the intertwined lives of Mia ( Emma Stone ), an aspiring actress, and Sebastian ( Ryan Gosling ), a passionate jazz musician. From their first…",511,88
4.5,I just pretend she turns back around I can't deal with it,57,12
2.5,"[5] Neither outstanding nor horrid. It seems rather puzzling, though, that so much of the project rests on Emma Stone's shoulders. She is a fine actress, particularly adept with comedy, but as Mia she is a mediocre singer and a subpar dancer. (Note how she keeps looking down at her feet, and how she slouches rather than keeping her line.) One could almost understand this if Chazelle's purpose were a sort of pro-am Everyman musical along the lines of Everyone…",463,80
5.0,"This film is the true definition of a masterpiece. Emma Stone and Ryan Gosling acting together is pure magic. I'll never forget the first time I watched this in cinema back in 2016. I had just gone through an experience of what I thought was ""right person, wrong time"". So, the ending hit me like a ton of bricks back then and immediately brought tears to my eyes. I've seen it multiple times since then, and the ending still gets me. Sebastian Wilder will forever be one of my favorite film characters of all time.",515,95
5.0,i still lobe this movie,23,5
5.0,Pregaming for Babylon,21,3
5.0,"Yeah, this is the best movie ever.",34,7
5.0,ryan gosling and emma stone can have all of my money if they agree to tap dance on my grave at my funeral,105,23
5.0,"Here's to the ones who dream, baby",34,7
5.0,yep mm hmm still crying,23,5
3.5,"70 La La Land succeeds, no, scratch that, *soars* when it's in song. Damien Chazelle's newest film about the allure of music and the relationships which stumble within it is nothing less than a marvelous concoction of sunshine and warm, fuzzy twilight condensed into light taps, swooning dance motions, and large musical gestures. There's an old-school magic to seeing two movie stars float among the stars, a dream played out through a projector, frazzled and exultant, and each step feels…",491,80
4.5,happy six year anniversary to la la land! i am going to die alone.,66,14
,"Publicado na revista Veja em 18/01/2017 Cidade dos sonhos frustrados No musical La La Land, o encanto do amor e da música se choca com o cotidiano duro e competitivo de Los Angeles Em uma rampa que liga a via expressa 105 à 110, algumas centenas de habitantes de Los Angeles estão fazendo aquilo que os habitantes de Los Angeles mais fazem: mofar no trânsito. Mas, então, a câmera fecha no rosto de uma moça que cantarola junto com o…",434,80
4.5,"“no one likes jazz, not even you” “i do like jazz now because of you” im sobbing i love musicals",96,20
5.0,"“ I’m always gonna love you ” “ I’m always gonna love you too ” this is the most terrifying, yet beautiful horror film of all time and I love it (i’m in so much pain)",166,36
4.0,i will give ryan and emma $15 each if they agree to tap dance on my grave at my funeral,87,20
5.0,La La Land is my favourite film of all time. If I were to enjoy a new film in the future it wouldn’t come close to my love for La La Land. This dreamy 2016 musical centred around Mia an actress and Sebastian a pianist. These ambitious individuals fall in love whilst attempting to reconcile their chosen future aspirations. In the beginning the plot starts with a memorable musical sequence ‘Another Day of Sun’ which immediately sets the energetic and…,453,80
5.0,"Gosling and Stone's first encounter is a literal and metaphorical middle finger filled with love to the audience. Behold how the stars glimmer so gracefully in the vast sky, their perfection timeless and beautiful. If only I could waltz with you beneath their glow every night. Ah, to exist in a symphony of harmony, where every soul finds its own rhythm. Like a melody of dance and song, life weaves its beauty through compromise, crafting our own musical that resonates…",472,80
3.5,imagine ur wife is pregnant and ur taking her to hospital and u get stuck in traffic and then everyone gets out of their car to sing about sunlight,147,29
1.5,"Com certeza um dos filmes mais moralistas que eu já assisti. O que me incomoda nem é essa nostalgia vazia, que até ai já foi objeto de fetiche em uma penca de filmes bestas e com certeza esse não será o último, mas o que me irrita mesmo é esse desprezo pelo contemporâneo que se reflete numa presunçãozinha bem canalha mesmo. Um filme onde só o jazz clássico salva mas os negros são objetos de cena? Onde rola toda uma…",419,80
5.0,I think we all agree that this movie is the happiest-sad movie ever to exist in humanity. The ending never stops hurting tho ಥ⌣ಥ,128,24
5.0,HIS CAR WAS NOT JUST RIGHT UP HERE!!! HE LIED!!! HES A LIAR!!!!,63,13
4.5,this film felt like a nice warm hug :(,38,9
2.0,"one of those films that i don't understand why everyone loves it so much. i found a large majority of it insufferable. i'm aware i'm probably the only person on planet earth (and possibly other planets with humanoid life) to feel this way. maybe some people will want to cancel me for this, but if you don't want to hear my honesty i would probably suggest not following me. i mean, sure, the cinematography is wonderful, beautiful, gorgeous, all of…",450,80
3.5,So had Sebastian and Mia just never heard of long-distance relationships before orrrrrrrrr,90,13
5.0,This movie fills me with so much goddamn dispair I cant watch it more than once a week otherwise ill be bedridden (this is a slight joke although I dont believe I have ever watched it more than once a week so this could be proven to be correct) I just love it a lot because its so damn tragic and catchy and beautiful and all the other descriptions that would make this the longest run-on sentence you have ever…,412,80
,"No one can fathom how much this film impacted my life since its release and I really hope I give it justice with this personal review. La La Land is a dramedy musical telling the story of how a pianist and an actress pursued their dreams and fell in and out of love in the city of Los Angeles. Musicals are my all-time favorite film genre, as you can see with my obsessive rewatches of both Hamilton and American Utopia …",421,81
5.0,"And here's to the fools who dream / Crazy as they may seem. / Here's to the hearts that break. / Here's to the mess we make˚ ༘♡ ⋆｡˚ fuck i never have words to write a review after this movie, my heart has never been so full yet so broken everytime i watch it with the new details and lines i notice, what a masterpiece",318,66
5.0,Ryan gosling’s little nod at the end is one of the most devastating things I’ve ever seen. I literally wanna die every time I see it. I love movies,147,29
5.0,if there’s one thing to know about me it’s that i’ll always be a la la land girly! Watched it 10+ times and it still hits like the first. Emma stone is the woman of my life for real!! (also i still stream city of stars quite a lot 😭),233,50
4.5,That thing where you’re way over-excited for a movie and you’re worried you’re setting yourself up for disappointment and then it’s even better than you imagined and you want to watch it a hundred more times. Full review at ScreenCrush .,237,41
4.5,"“AS PESSOAS AMAM AQUILO QUE OS OUTROS FAZEM COM PAIXÃO” Os musicais fazem da sétima arte algo alegre e sonhador, até o mais céticos irão se pegar emocionados ou até cantarolando uma das músicas desse longa após terminarem de assistir. La La Land: Cantando Estações é um longa-metragem que busca nos transportar para um estado de plena mágica e nostalgia. O cineasta e roteirista Damien Chazelle homenageia de maneira honrosa os clássicos musicais de Hollywood que moldaram esse gênero cinematográfico.…",502,80
5.0,"I live for dreams. I live for the idea that one day I will be in the film industry. I live for film, I live for film lovers, I live for La La Land. When you make films like this, the game is changed. This film is everything that we've been waiting for. In La La Land, there is nothing that feels out of place. Every scene perfectly sets up the next and made me want more than just 2 hours…",389,81
4.0,very charming,13,2
5.0,how can anyone hate this masterpiece,36,6
5.0,[serotonin has joined the chat],31,5
5.0,The Oscars made a mistake for “not” giving this masterpiece Best Picture back in 2017.,86,15
5.0,"Midway through the movie: Life is beautiful. By the end of the movie: It’s clear—this is a horror film, and one of the finest at that. The film opens with warmth and joy, immersing us in a vibrant, colorful world where everyone dances and sings, creating an atmosphere that feels “like a dream.” But as the story unfolds, dreams inevitably collide with reality. Even though Mia’s final words to Sebastian are, “I’m always gonna love you,” the fact that she…",457,80
5.0,"growing up is turning off the tv before the ending montage ends. (emotional stability dependency on fictional characters runs fast, but I run faster)",149,24
5.0,"1001 movies you must see before you die (Ranked) Oscar Winners (Ranked) (2017) (Best Director) (Best Actress) (Best Cinematography) (Best Original Score) “It’s weird that we keep running into eachother Yeah maybe it means something Doubt it” Yeah I know it’s absolutely crazy that I haven’t seen this film yet, and honestly I don’t have a single excuse why. Just haven’t. I do think it’s crazy how I’ve been able to skip every single spoiler about this film despite its…",470,80
3.0,"mostly enjoyed this as a simple romantic comedy subversion, highlighting the inherent pain & regret that is bound to permeate our journeys to ""success"", whichever form it inevitably takes in the end. shame that it had to be a musical tho, and by a guy who very clearly views pop art with cynicism and disdain.",309,55
5.0,"🏆98% Favorite Movies Ranked video - HERE My Favorite Movies - Click HERE In a world full of lackluster musicals, we have an absolute gem in La La Land . What could have easily been a by-the-numbers song-filled romp, this film is full of life, energy, joy, and love. It’s a tough task going from this to other musicals because most just don’t measure up. It could absolutely be where I just don’t consider myself to be a “musical fan.” It takes a…",446,83
5.0,i laughed i cried a number of times i sweat i danced i got shot i ate and i had many epiphanies,95,22
5.0,I don’t care what anyone says; La La Land is a perfect film.,60,13
5.0,Joji - Glimpse of Us (Official Music Video),43,8
4.5,I honestly could give or take the first 90 minutes of this but man that last 30 minutes kills me it's so good.,110,23
2.5,"My attention was seized, watching La La Land a second time — no longer in thrall to a flamboyance one can hardly help but find seductive — by a rather trifling detail. There’s a moment, easy to overlook amid the whirlwind of whip-pans, showtunes, and dance numbers, in which the anonymous patron of a Hollywood studio-lot coffee shop, technically uncredited but specified on IMDB as “Coffee Shop Customer #2”, approaches Mia (Emma Stone), the barista, and demands to know whether…",480,80
5.0,"The day I don’t cry watching La La Land, I’m dead. Why did I cry more than the first time? 😭😭😭",94,21
5.0,"It's been so long since I rewatched this that I was wondering if this was still my favorite movie. Yeah, it is.",111,22
5.0,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,528,1
5.0,"Instantly enchanting and impossibly charming, Damien Chazelle's ""La La Land"" is both a throwback and a glance forward. An original musical comedy that buzzes with a golden age energy at the same times it bristles with contemporary verve, Chazelle's film sings and swings its way off the screen, launching itself with undeniable joy into the hearts and minds of its audience. It is an experience the pulses and beats with pure, cinematic bliss. ""La La Land"" is the story of…",473,80
5.0,I can't believe when I first saw this in theatres i thought it was just ok.. like what the fuck was i thinking. we are talking about top 15 cinema here fuck my shitty ass miserable life lmfao,191,38
5.0,this is actually my roman empire.,33,6
5.0,*crying* person: is that gonna happen everytime? me *sobbing*: i think so,73,12
5.0,i religiously listen to the soundtrack every single day of my life,66,12
5.0,you know what's better than sex? la la land's cinematography.,61,10
5.0,"People love what other people are passionate about. What's wrong with I Ran???? It is a great song. I am not the biggest fan of musicals, but La La Land is an exception. That's why I had been putting off watching it. I am glad I finally got around to watching this. 9.9/10",272,53
5.0,"“I guess I’ll see you in the movies” I’ll start off by saying that I usually don’t enjoy musicals however… when it comes to La La Land there’s an exception. La La Land is absolutely flawless in every aspect possible. Damien Chazelle is an incredible director. The cinematography is god damn stunning, and the acting is amazing. As I mentioned in a previous review, we all know how good the chemistry between Ryan Gosling and Emma Stone is, and it fucking flourishes in this film. Won’t lie, the ending always gets the emotions going. Absolute Cinema. 💯 🎵 🎹 🎬 Ryan Gosling Ranked Favorite Films",593,105
5.0,"If I don’t make a movie that’s an homage to Hollywood, the musicals of the 1960s, and tells the story of young love and heartbreak, I think I might die.",152,30
5.0,Nunca habrá mejor película que esta…,36,6
4.5,Manic-depression at its finest,30,4
5.0,Eternally jealous of people who get to watch this for the first time.,69,13
5.0,Me: just fuck my shit up La La Land: say no more fam,52,13
5.0,"apaixonada por esse filme e como ele mostra a realidade. é o que dizem: você pode dividir tudo com a pessoa que ama, menos os seus sonhos.",138,27
5.0,🥹 lobe,6,2
5.0,I officially decided I would rewatch every Damian Chazelle movie today. This movie is absolutely incredible. This may just be the greatest musical ever.,152,24
5.0,"🌟95% 🔙 Chernobyl 🔙 🔜Back in Action🔜 Finally got back round to the alphabet challenge , onto letter L and it was finally time I checked out La La Land.. holy fk! I’m not the biggest musical or romance watcher but this made a fan of me for life. That or Damien Chazelle’s unique ability to create stunning and unforgettable cinema, I’ve only seen Whiplash and now La La Land… and they are both easy 5* films. Linus Sandgren’s cinematography is a…",444,82
4.0,"SORRY I'd like to formally apologize to anyone whose sensibilities I have offended by giving this film only 3 stars originally and leaving it that way for more than seven years. I'm not really sure why I did not love this film upon first watching. I LOVE musicals. In fact, as a group, more of my 5 star movies are musicals than any out group. Singing in the Rain is a permanent resident of my Top 4 and my go…",410,80
5.0,the greatest movie ever made actually,37,6
